database_inspire,retention_target,mechanism,strength,method,evaluation_target_inspire,metric_inspire,n_replicates_inspire,mean_inspire,sd_inspire,q025_inspire,q975_inspire,truth_inspire,bias_inspire,rmse_inspire,database_mimic,evaluation_target_mimic,metric_mimic,n_replicates_mimic,mean_mimic,sd_mimic,q025_mimic,q975_mimic,truth_mimic,bias_mimic,rmse_mimic
INSPIRE,0.35,risk_MAR,strong,AIPW_design_probability,reconstructed,oe,300,1.5317598658707956,0.308205129118253,1.0946892906621708,2.196799387513798,1.7981835040786758,-0.2664236382078802,0.4070077664353262,MIMIC,reconstructed,oe,300,0.7829789040818171,0.086711896509544,0.6453068269832872,0.9460659880934568,1.014641724383521,-0.2316628203017039,0.2473086171765293
INSPIRE,0.35,risk_MAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.6174442924532964,0.2840894640148457,1.2057508446020009,2.1738913364143224,1.7981835040786758,-0.1807392116253794,0.3363100703785003,MIMIC,reconstructed,oe,300,0.8013152181916122,0.0436708981891653,0.726243012178912,0.8919419676384402,1.014641724383521,-0.2133265061919088,0.2177360522165912
INSPIRE,0.35,risk_MAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.558197456424702,0.3113583008857413,1.1381704307733806,2.2838665198190973,1.7981835040786758,-0.2399860476539737,0.3927010923852851,MIMIC,reconstructed,oe,300,0.7873959780426315,0.0652528792780822,0.686883175500467,0.9485300167202928,1.014641724383521,-0.2272457463408895,0.2363987613262689
INSPIRE,0.35,risk_MAR,strong,naive,reconstructed,oe,300,1.955676319760876,0.1214746958595408,1.7373647175861708,2.2173670041563853,1.7981835040786758,0.1574928156821999,0.1987734935042769,MIMIC,reconstructed,oe,300,0.8906890478095435,0.0261533088191167,0.8385745364484347,0.9412763428547468,1.014641724383521,-0.1239526765739775,0.1266727342676153
INSPIRE,0.35,risk_MAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.8865900136510074,0.1149306370808526,0.6922212782015092,1.1291190638414843,1.0,-0.1134099863489925,0.1613283799347054,MIMIC,full,oe,300,1.0421039650336643,0.0515001980653273,0.94673489124239,1.1569447643998962,1.0,0.0421039650336645,0.0664542953539353
INSPIRE,0.35,risk_MAR,strong,recalibration_intercept_truth,full,oe,300,0.8971009123916092,0.0598655317670678,0.7833829678609701,1.0123139388127764,1.0,-0.1028990876083908,0.1189964615079538,MIMIC,full,oe,300,1.151109570119825,0.0366706673433672,1.0837423663945729,1.224750003017405,1.0,0.151109570119825,0.155481052111594
INSPIRE,0.35,risk_MAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0478674819819924,0.2886293440358421,0.6322826979317976,1.765104348120406,1.0,0.0478674819819924,0.2920967381006876,MIMIC,full_heldout,oe,300,1.011948894072832,0.1054756208595459,0.8390277115928998,1.2293189352264549,1.0,0.011948894072832,0.1059754640311524
INSPIRE,0.35,risk_MAR,weak,AIPW_design_probability,reconstructed,oe,300,1.4668434176517422,0.2121014911113406,1.069412729229366,1.904184926782636,1.7981835040786758,-0.3313400864269336,0.3932217422735205,MIMIC,reconstructed,oe,300,0.7739536524955993,0.0365878107470035,0.7022863999388533,0.8437159889262019,1.014641724383521,-0.2406880718879217,0.2434439434819983
INSPIRE,0.35,risk_MAR,weak,IPAW_design_probability_truncated99,reconstructed,oe,300,1.4827325925878712,0.2160866276315179,1.0832184417648143,1.936593970484329,1.7981835040786758,-0.3154509114908046,0.3821610438450495,MIMIC,reconstructed,oe,300,0.7791297231067362,0.0348951543617346,0.712006110432065,0.845119295146436,1.014641724383521,-0.2355120012767848,0.2380746009916481
INSPIRE,0.35,risk_MAR,weak,IPAW_design_probability_untruncated,reconstructed,oe,300,1.4678809788872325,0.2144670525142323,1.0730891136972658,1.922378008794321,1.7981835040786758,-0.3303025251914433,0.3936274309207538,MIMIC,reconstructed,oe,300,0.7741474177330044,0.0354180826846431,0.7059393290034879,0.8423262231477394,1.014641724383521,-0.2404943066505166,0.2430797618967186
INSPIRE,0.35,risk_MAR,weak,naive,reconstructed,oe,300,1.904013484506329,0.1557768182997629,1.575909983836647,2.2172433182853406,1.7981835040786758,0.1058299804276532,0.18811037669371,MIMIC,reconstructed,oe,300,0.8759111027484164,0.0284079238679365,0.8178705800134333,0.9267756325833468,1.014641724383521,-0.1387306216351046,0.1415998074997071
INSPIRE,0.35,risk_MAR,weak,recalibration_intercept_slope_truth,full,oe,300,0.9634847422719888,0.1181260964794025,0.7721893218996704,1.2350738142005804,1.0,-0.0365152577280112,0.1234529308448069,MIMIC,full,oe,300,1.0935857891886889,0.0432692478532805,1.0111878876498204,1.1846550219900842,1.0,0.0935857891886888,0.1030741819685821
INSPIRE,0.35,risk_MAR,weak,recalibration_intercept_truth,full,oe,300,0.931702393970213,0.0826456090417941,0.7818807220537956,1.1266226008953704,1.0,-0.0682976060297869,0.1071078523155178,MIMIC,full,oe,300,1.168205408326964,0.0401521960324362,1.0973969212350243,1.2523137142589054,1.0,0.1682054083269639,0.1729158299303848
INSPIRE,0.35,risk_MAR,weak,reference_10pct_recalibration,full_heldout,oe,300,1.0784979232631058,0.3188208420344562,0.663175709401361,1.934422624488547,1.0,0.0784979232631057,0.3278259154507592,MIMIC,full_heldout,oe,300,1.0103113143529256,0.1164628665792036,0.8131092423652228,1.2274515830224872,1.0,0.0103113143529256,0.1167249352019128
INSPIRE,0.35,stratum_MAR,strong,AIPW_design_probability,reconstructed,oe,300,1.5144880842985382,0.2721600119291918,1.0557736261933408,2.168143410801376,1.7981835040786758,-0.2836954197801375,0.3928196274677247,MIMIC,reconstructed,oe,300,0.7585961437126658,0.0610600436844297,0.6481789209333255,0.8759445498307106,1.014641724383521,-0.2560455806708552,0.2632019007391552
INSPIRE,0.35,stratum_MAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.6156211947547112,0.2554440643665006,1.2017204782185746,2.2124604042770524,1.7981835040786758,-0.1825623093239645,0.3136290184900662,MIMIC,reconstructed,oe,300,0.7746980871621479,0.0430091729642322,0.696521782093428,0.8652112999987501,1.014641724383521,-0.2399436372213731,0.2437551477177298
INSPIRE,0.35,stratum_MAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.5454034416454752,0.2706596865848761,1.127230503680788,2.2140572518698893,1.7981835040786758,-0.2527800624332006,0.3700138335515067,MIMIC,reconstructed,oe,300,0.7593931145383928,0.0552639670717655,0.6653443983852343,0.875287824262152,1.014641724383521,-0.2552486098451283,0.261143214598538
INSPIRE,0.35,stratum_MAR,strong,naive,reconstructed,oe,300,2.342207626145089,0.1606235192702955,2.05267325750532,2.685144555105877,1.7981835040786758,0.544024122066413,0.5671650206213629,MIMIC,reconstructed,oe,300,0.8948263320498833,0.0293053115307867,0.8405393622010051,0.9515198376713214,1.014641724383521,-0.1198153923336378,0.1233355863205492
INSPIRE,0.35,stratum_MAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.7548031164713546,0.070059349669624,0.6378972267213971,0.9124006578939412,1.0,-0.2451968835286454,0.2549773776763414,MIMIC,full,oe,300,1.101529546764024,0.0376783956181447,1.0313756136540222,1.1733102156932795,1.0,0.101529546764024,0.1082736263245935
INSPIRE,0.35,stratum_MAR,strong,recalibration_intercept_truth,full,oe,300,0.7533002963846136,0.0539918537826812,0.6498580590762935,0.8607166526797092,1.0,-0.2466997036153864,0.2525195972023298,MIMIC,full,oe,300,1.1393279369818905,0.0389659646766078,1.0703232648911272,1.212752228454662,1.0,0.1393279369818905,0.1446566945292579
INSPIRE,0.35,stratum_MAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0731589408144406,0.3155668665929964,0.6187503793764039,1.876489936672714,1.0,0.0731589408144406,0.3234234630039102,MIMIC,full_heldout,oe,300,1.0168843378484078,0.1172987245705113,0.8243702664777989,1.2699072459178418,1.0,0.0168843378484078,0.1183140243074687
INSPIRE,0.35,stratum_MAR,weak,AIPW_design_probability,reconstructed,oe,300,1.4798901989246986,0.1958729201928182,1.0827080732870171,1.8699582402391772,1.7981835040786758,-0.3182933051539771,0.3735625003054895,MIMIC,reconstructed,oe,300,0.757113691286053,0.0367823022165698,0.6858729550974064,0.8321133092582901,1.014641724383521,-0.2575280330974681,0.2601328810336758
