model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,ess,300,324.0,0.0,324.0,324.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,event_rate_se,300,0.01939026741183426,3.475243859842279e-18,0.019390267411834264,0.019390267411834264,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,event_rate,300,0.1419753086419753,0.0,0.1419753086419753,0.1419753086419753,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,oe,300,0.9650596399313639,0.14652327797818068,0.7323583474566586,1.3007302841862969,1.0,-0.0349403600686361,0.15039393665049217
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,brier,300,0.11358482176936055,0.0037252727702968345,0.10991157805015647,0.12226847932002875,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,auc,300,0.6934329058492337,0.01671906989705125,0.6490010165780419,0.7132878479824837,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,calibration_intercept,300,-0.6651530716686911,0.16624490869137823,-0.9910914082024972,-0.3576690854385864,0.0,-0.6651530716686911,0.6855463907355556
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,calibration_slope,300,0.6114460378029314,0.06039473800445295,0.4496529615068892,0.6663316007365352,1.0,-0.3885539621970686,0.3932042058562855
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,ess,300,324.0,0.0,324.0,324.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_truth,full,event_rate_se,300,0.01939026741183426,3.475243859842279e-18,0.019390267411834264,0.019390267411834264,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,event_rate,298,0.14189837008628955,0.00642677893273471,0.1292517006802721,0.15306122448979592,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,oe,298,1.3150737807349755,0.8580612232103833,0.4728245698177656,4.0538549766975525,1.0,0.3150737807349755,0.912726601196101
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,brier,298,0.12136648374332067,0.012385750880576654,0.10739049610334774,0.15012175290508287,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,auc,298,0.650346222086143,0.14017539295037607,0.2674881867877328,0.7288373208156673,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,calibration_intercept,298,-1.611558191570139,29.62226664203245,-18.57728134036355,10.71364443315936,0.0,-1.611558191570139,29.616401562043816
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,calibration_slope,298,0.6564307155805467,16.122157915006188,-10.392645922918206,6.620999072366933,1.0,-0.34356928441945334,16.098751118728426
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,outcome_observed_fraction,298,0.31738337890463175,0.020117097817346642,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,reconstructed_sensitivity,298,0.5469798657718121,0.0627968874410611,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,ess,298,294.0,0.0,294.0,294.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,event_rate_se,298,0.02034381139356186,0.0003878756161541065,0.019565492543623577,0.020998338616454712,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,reference_sample_n,298,30.0,0.0,30.0,30.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,evaluation_n,298,294.0,0.0,294.0,294.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,event_rate,299,0.14212322863152088,0.006705653901984726,0.12869415807560136,0.15463917525773196,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,oe,299,1.313662060453447,0.8623396445585981,0.4940408305746961,4.09377210655299,1.0,0.313662060453447,0.9162567844319994
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,brier,299,0.12034654799374811,0.011661829046830314,0.10704154599714838,0.1493366415604456,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,auc,299,0.6621920694665625,0.1268841434790666,0.26438366406713787,0.7297061752988049,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,calibration_intercept,299,3.3604132323448668,27.52600134124961,-9.428517113127349,29.248619297780362,0.0,3.3604132323448668,27.684636129088464
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,calibration_slope,299,2.7251012578494023,16.151407535106816,-3.3160374684714826,15.780228967504225,1.0,1.7251012578494023,16.216395148224212
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,outcome_observed_fraction,299,0.31741607828564355,0.020091273839123073,0.2777777777777778,0.3549382716049383,,,
