validation_database,model_specification,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,selected_fraction
MIMIC-IV,extended_common,0.15,0.0622812981973167,0.08854209854226439,0.0,0.4261347617705103
MIMIC-IV,extended_common,0.16,0.05402956220548552,0.0776914092391961,0.0,0.38680575133915984
MIMIC-IV,extended_common,0.17,0.0462277641719967,0.06657925754328278,0.0,0.35142373837045393
MIMIC-IV,extended_common,0.18,0.04155693234406266,0.05519607775722529,0.0,0.31815618832816467
MIMIC-IV,extended_common,0.19,0.035761398086367545,0.04353183180361078,0.0,0.28601635184663093
MIMIC-IV,extended_common,0.2,0.03083591767691006,0.031575979701155915,0.0,0.2607837609247251
MIMIC-IV,extended_common,0.21,0.025616227655390733,0.01931744779863892,0.0,0.23456442063715816
MIMIC-IV,extended_common,0.22,0.022297644090708647,0.0067445945652881145,0.0,0.2144065407386524
MIMIC-IV,extended_common,0.23,0.018248455801317377,-0.006154826284513332,0.0,0.19509444601071327
MIMIC-IV,extended_common,0.24,0.014652857121659521,-0.019393705577730597,0.0,0.17620524386805753
MIMIC-IV,extended_common,0.25,0.012216896908185323,-0.03298562165210034,0.0,0.16126303918804624
MIMIC-IV,extended_common,0.26,0.010576124475194106,-0.046944886809561215,0.0,0.1477304764589794
MIMIC-IV,extended_common,0.27,0.008635505211813187,-0.06128659758777438,0.0,0.13588948407104595
MIMIC-IV,extended_common,0.28,0.007392788898286498,-0.07602668922093792,0.0,0.12447138426839582
MIMIC-IV,extended_common,0.29,0.005553195122241769,-0.09118199470292293,0.0,0.11375810544121794
MIMIC-IV,extended_common,0.3,0.003363002940110351,-0.10677030891296468,0.0,0.10304482661404003
eICU,extended_common,0.02,0.20983821333260314,0.21297242191334165,0.0,0.9781195169780164
eICU,extended_common,0.03,0.19935882225884813,0.20485873554131426,0.0,0.9610898957580761
eICU,extended_common,0.04,0.18747204733890666,0.19657601403653627,0.0,0.93724842605016
